iter	Passed	Remaining
0	1	132
1	2	119
2	3	122
3	4	113
4	5	113
5	7	112
6	8	112
7	9	110
8	10	109
9	12	109
10	13	107
11	14	106
12	15	104
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	23	100
19	24	97
20	25	96
21	26	94
22	27	92
23	28	90
24	29	88
25	30	87
26	31	85
27	32	83
28	33	81
29	34	80
30	35	78
31	36	77
32	37	75
33	37	73
34	38	72
35	39	70
36	40	69
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	49	54
48	50	53
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	96	1
98	97	0
99	98	0
